# Fission Isotope Spectra
#  U235, Pu239, Pu241: Log-linear Interpolation of reported ILL spectra
#  U238: Log-linear Interpolation of Muller's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
     1.8        1.51185        1.64179        1.21948        1.38202
    1.81        1.50048        1.63329        1.21153        1.37455
    1.82         1.4892        1.62484        1.20363        1.36712
    1.83          1.478        1.61643        1.19579        1.35972
    1.84        1.46688        1.60807          1.188        1.35237
    1.85        1.45585        1.59975        1.18025        1.34506
    1.86         1.4449        1.59148        1.17256        1.33779
    1.87        1.43404        1.58324        1.16492        1.33055
    1.88        1.42325        1.57505        1.15733        1.32336
    1.89        1.41255         1.5669        1.14979         1.3162
     1.9        1.40193         1.5588         1.1423        1.30909
    1.91        1.39139        1.55073        1.13485        1.30201
    1.92        1.38092        1.54271        1.12746        1.29497
    1.93        1.37054        1.53473        1.12011        1.28797
    1.94        1.36023        1.52679        1.11281          1.281
    1.95           1.35        1.51889        1.10556        1.27408
    1.96        1.33985        1.51103        1.09835        1.26719
    1.97        1.32977        1.50321        1.09119        1.26033
    1.98        1.31977        1.49543        1.08408        1.25352
    1.99        1.30985         1.4877        1.07702        1.24674
       2            1.3           1.48           1.07           1.24
    2.01        1.29039        1.47234        1.06215        1.23224
    2.02        1.28086        1.46473        1.05435        1.22454
    2.03         1.2714        1.45715        1.04661        1.21688
    2.04          1.262        1.44961        1.03893        1.20927
    2.05        1.25268        1.44211         1.0313        1.20171
    2.06        1.24342        1.43465        1.02373        1.19419
    2.07        1.23424        1.42723        1.01621        1.18672
    2.08        1.22512        1.41984        1.00876         1.1793
    2.09        1.21606         1.4125        1.00135        1.17193
     2.1        1.20708        1.40519          0.994         1.1646
    2.11        1.19816        1.39792       0.986703        1.15731
    2.12        1.18931        1.39069        0.97946        1.15007
    2.13        1.18052        1.38349        0.97227        1.14288
    2.14         1.1718        1.37633       0.965133        1.13573
    2.15        1.16314        1.36921       0.958049        1.12863
    2.16        1.15454        1.36213       0.951016        1.12157
    2.17        1.14601        1.35508       0.944035        1.11456
    2.18        1.13755        1.34807       0.937105        1.10759
    2.19        1.12914         1.3411       0.930226        1.10066
     2.2         1.1208        1.33416       0.923398        1.09378
    2.21        1.11252        1.32725       0.916619        1.08694
    2.22         1.1043        1.32039       0.909891        1.08014
    2.23        1.09614        1.31356       0.903212        1.07338
    2.24        1.08804        1.30676       0.896581        1.06667
    2.25           1.08            1.3           0.89           1.06
    2.26        1.07215        1.29364       0.881992        1.05166
    2.27        1.06436        1.28731       0.874056        1.04338
    2.28        1.05663        1.28101       0.866192        1.03517
    2.29        1.04895        1.27475       0.858398        1.02702
     2.3        1.04133        1.26851       0.850675        1.01894
    2.31        1.03376        1.26231       0.843021        1.01092
    2.32        1.02625        1.25613       0.835436        1.00296
    2.33        1.01879        1.24998       0.827919       0.995071
    2.34        1.01139        1.24387        0.82047        0.98724
    2.35        1.00404        1.23778       0.813088        0.97947
    2.36       0.996745        1.23173       0.805772       0.971762
    2.37       0.989502         1.2257       0.798522       0.964114
    2.38       0.982312        1.21971       0.791337       0.956526
    2.39       0.975174        1.21374       0.784217       0.948998
     2.4       0.968088         1.2078       0.777161       0.941529
    2.41       0.961054        1.20189       0.770168       0.934119
    2.42       0.954071        1.19601       0.763239       0.926768
    2.43       0.947138        1.19016       0.756372       0.919474
    2.44       0.940256        1.18434       0.749566       0.912238
    2.45       0.933424        1.17855       0.742822       0.905058
    2.46       0.926641        1.17278       0.736138       0.897935
    2.47       0.919908        1.16704       0.729515       0.890869
    2.48       0.913223        1.16133       0.722951       0.883857
    2.49       0.906588        1.15565       0.716446       0.876901
     2.5            0.9           1.15           0.71           0.87
    2.51       0.893981        1.14359       0.705188        0.86485
    2.52       0.888002        1.13721       0.700409       0.859731
    2.53       0.882063        1.13087       0.695662       0.854642
    2.54       0.876164        1.12457       0.690948       0.849583
    2.55       0.870304         1.1183       0.686265       0.844554
    2.56       0.864483        1.11207       0.681614       0.839555
    2.57       0.858702        1.10587       0.676995       0.834586
    2.58       0.852959         1.0997       0.672407       0.829646
    2.59       0.847254        1.09357        0.66785       0.824735
     2.6       0.841588        1.08747       0.663324       0.819853
    2.61       0.835959        1.08141       0.658829          0.815
    2.62       0.830368        1.07538       0.654364       0.810176
    2.63       0.824815        1.06939       0.649929        0.80538
    2.64       0.819298        1.06343       0.645524       0.800613
    2.65       0.813819         1.0575        0.64115       0.795874
    2.66       0.808376         1.0516       0.636805       0.791163
    2.67        0.80297        1.04574       0.632489        0.78648
    2.68       0.797599        1.03991       0.628202       0.781825
    2.69       0.792265        1.03411       0.623945       0.777197
     2.7       0.786966        1.02835       0.619717       0.772597
    2.71       0.781703        1.02261       0.615517       0.768024
    2.72       0.776475        1.01691       0.611345       0.763477
    2.73       0.771282        1.01124       0.607202       0.758958
    2.74       0.766124        1.00561       0.603087       0.754466
    2.75          0.761              1          0.599           0.75
    2.76       0.755605       0.994718       0.594255       0.744455
    2.77       0.750248       0.989465       0.589548       0.738951
    2.78        0.74493       0.984239       0.584878       0.733487
    2.79       0.739649        0.97904       0.580245       0.728064
     2.8       0.734405        0.97387       0.575649       0.722681
    2.81       0.729199       0.968726       0.571089       0.717338
    2.82       0.724029        0.96361       0.566566       0.712034
    2.83       0.718896        0.95852       0.562078        0.70677
    2.84         0.7138       0.953458       0.557625       0.701544
    2.85       0.708739       0.948422       0.553208       0.696357
    2.86       0.703715       0.943413       0.548826       0.691208
    2.87       0.698726        0.93843       0.544479       0.686098
    2.88       0.693773       0.933474       0.540166       0.681025
    2.89       0.688854       0.928544       0.535887        0.67599
