# Fission Isotope Spectra
#  U235, Pu239, Pu241: Interpolation of reported ILL spectra
#  U238: Interpolation of Vogel's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
     1.8        1.51185        1.68627        1.21948        1.38202
    1.81        1.50048        1.67699        1.21153        1.37455
    1.82         1.4892        1.66776        1.20363        1.36712
    1.83          1.478        1.65857        1.19579        1.35972
    1.84        1.46688        1.64944          1.188        1.35237
    1.85        1.45585        1.64036        1.18025        1.34506
    1.86         1.4449        1.63133        1.17256        1.33779
    1.87        1.43404        1.62235        1.16492        1.33055
    1.88        1.42325        1.61342        1.15733        1.32336
    1.89        1.41255        1.60454        1.14979         1.3162
     1.9        1.40193         1.5957         1.1423        1.30909
    1.91        1.39139        1.58692        1.13485        1.30201
    1.92        1.38092        1.57818        1.12746        1.29497
    1.93        1.37054        1.56949        1.12011        1.28797
    1.94        1.36023        1.56085        1.11281          1.281
    1.95           1.35        1.55226        1.10556        1.27408
    1.96        1.33985        1.54371        1.09835        1.26719
    1.97        1.32977        1.53522        1.09119        1.26033
    1.98        1.31977        1.52676        1.08408        1.25352
    1.99        1.30985        1.51836        1.07702        1.24674
       2            1.3           1.51           1.07           1.24
    2.01        1.29039        1.49935        1.06215        1.23224
    2.02        1.28086        1.48878        1.05435        1.22454
    2.03         1.2714        1.47828        1.04661        1.21688
    2.04          1.262        1.46786        1.03893        1.20927
    2.05        1.25268         1.4575         1.0313        1.20171
    2.06        1.24342        1.44723        1.02373        1.19419
    2.07        1.23424        1.43702        1.01621        1.18672
    2.08        1.22512        1.42689        1.00876         1.1793
    2.09        1.21606        1.41682        1.00135        1.17193
     2.1        1.20708        1.40683          0.994         1.1646
    2.11        1.19816        1.39691       0.986703        1.15731
    2.12        1.18931        1.38706        0.97946        1.15007
    2.13        1.18052        1.37728        0.97227        1.14288
    2.14         1.1718        1.36757       0.965133        1.13573
    2.15        1.16314        1.35792       0.958049        1.12863
    2.16        1.15454        1.34835       0.951016        1.12157
    2.17        1.14601        1.33884       0.944035        1.11456
    2.18        1.13755         1.3294       0.937105        1.10759
    2.19        1.12914        1.32002       0.930226        1.10066
     2.2         1.1208        1.31072       0.923398        1.09378
    2.21        1.11252        1.30147       0.916619        1.08694
    2.22         1.1043         1.2923       0.909891        1.08014
    2.23        1.09614        1.28318       0.903212        1.07338
    2.24        1.08804        1.27413       0.896581        1.06667
    2.25           1.08        1.26515           0.89           1.06
    2.26        1.07215        1.25623       0.881992        1.05166
    2.27        1.06436        1.24737       0.874056        1.04338
    2.28        1.05663        1.23857       0.866192        1.03517
    2.29        1.04895        1.22984       0.858398        1.02702
     2.3        1.04133        1.22116       0.850675        1.01894
    2.31        1.03376        1.21255       0.843021        1.01092
    2.32        1.02625          1.204       0.835436        1.00296
    2.33        1.01879        1.19551       0.827919       0.995071
    2.34        1.01139        1.18708        0.82047        0.98724
    2.35        1.00404        1.17871       0.813088        0.97947
    2.36       0.996745         1.1704       0.805772       0.971762
    2.37       0.989502        1.16215       0.798522       0.964114
    2.38       0.982312        1.15395       0.791337       0.956526
    2.39       0.975174        1.14581       0.784217       0.948998
     2.4       0.968088        1.13773       0.777161       0.941529
    2.41       0.961054        1.12971       0.770168       0.934119
    2.42       0.954071        1.12174       0.763239       0.926768
    2.43       0.947138        1.11383       0.756372       0.919474
    2.44       0.940256        1.10598       0.749566       0.912238
    2.45       0.933424        1.09818       0.742822       0.905058
    2.46       0.926641        1.09043       0.736138       0.897935
    2.47       0.919908        1.08274       0.729515       0.890869
    2.48       0.913223        1.07511       0.722951       0.883857
    2.49       0.906588        1.06753       0.716446       0.876901
     2.5            0.9           1.06           0.71           0.87
    2.51       0.893981        1.05297       0.705188        0.86485
    2.52       0.888002        1.04599       0.700409       0.859731
    2.53       0.882063        1.03905       0.695662       0.854642
    2.54       0.876164        1.03216       0.690948       0.849583
    2.55       0.870304        1.02531       0.686265       0.844554
    2.56       0.864483        1.01851       0.681614       0.839555
    2.57       0.858702        1.01176       0.676995       0.834586
    2.58       0.852959        1.00505       0.672407       0.829646
    2.59       0.847254       0.998383        0.66785       0.824735
     2.6       0.841588       0.991762       0.663324       0.819853
    2.61       0.835959       0.985184       0.658829          0.815
