# Fission Isotope Spectra
#  Huber model, as provided by Christine Lewis
#    P. Huber and T. Schwetz, Phys. Rev. D70, 053011 (2004)
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#Enu     dNdE_U235    dNdE_U238   dNdE_Pu239   dNdE_Pu241
1.800 1.555578e+00 1.485232e+00 1.300606e+00 1.448127e+00
1.810 1.542217e+00 1.480898e+00 1.288505e+00 1.437875e+00
1.820 1.529055e+00 1.476539e+00 1.276596e+00 1.427733e+00
1.830 1.516087e+00 1.472155e+00 1.264874e+00 1.417696e+00
1.840 1.503310e+00 1.467745e+00 1.253333e+00 1.407765e+00
1.850 1.490718e+00 1.463311e+00 1.241970e+00 1.397935e+00
1.860 1.478307e+00 1.458852e+00 1.230780e+00 1.388205e+00
1.870 1.466073e+00 1.454369e+00 1.219758e+00 1.378574e+00
1.880 1.454013e+00 1.449862e+00 1.208901e+00 1.369039e+00
1.890 1.442121e+00 1.445332e+00 1.198205e+00 1.359598e+00
1.900 1.430394e+00 1.440779e+00 1.187665e+00 1.350249e+00
1.910 1.418828e+00 1.436203e+00 1.177277e+00 1.340991e+00
1.920 1.407420e+00 1.431605e+00 1.167039e+00 1.331822e+00
1.930 1.396165e+00 1.426984e+00 1.156946e+00 1.322740e+00
1.940 1.385061e+00 1.422342e+00 1.146994e+00 1.313743e+00
1.950 1.374104e+00 1.417679e+00 1.137181e+00 1.304829e+00
1.960 1.363290e+00 1.412995e+00 1.127503e+00 1.295998e+00
1.970 1.352616e+00 1.408290e+00 1.117957e+00 1.287248e+00
1.980 1.342080e+00 1.403565e+00 1.108539e+00 1.278576e+00
1.990 1.331677e+00 1.398820e+00 1.099246e+00 1.269981e+00
2.000 1.391646e+00 1.480000e+00 1.106427e+00 1.287160e+00
2.010 1.382689e+00 1.472343e+00 1.099586e+00 1.279533e+00
2.020 1.373789e+00 1.464726e+00 1.092787e+00 1.271952e+00
2.030 1.364947e+00 1.457147e+00 1.086029e+00 1.264415e+00
2.040 1.356161e+00 1.449609e+00 1.079314e+00 1.256923e+00
2.050 1.347432e+00 1.442109e+00 1.072640e+00 1.249476e+00
2.060 1.338495e+00 1.434648e+00 1.065802e+00 1.241850e+00
2.070 1.329617e+00 1.427225e+00 1.059007e+00 1.234271e+00
2.080 1.320797e+00 1.419841e+00 1.052255e+00 1.226739e+00
2.090 1.312036e+00 1.412496e+00 1.045546e+00 1.219252e+00
2.100 1.303333e+00 1.405188e+00 1.038880e+00 1.211811e+00
2.110 1.294411e+00 1.397918e+00 1.032043e+00 1.204190e+00
2.120 1.285550e+00 1.390685e+00 1.025252e+00 1.196618e+00
2.130 1.276750e+00 1.383490e+00 1.018505e+00 1.189093e+00
2.140 1.268009e+00 1.376333e+00 1.011802e+00 1.181615e+00
2.150 1.259329e+00 1.369212e+00 1.005143e+00 1.174185e+00
2.160 1.250424e+00 1.362128e+00 9.983093e-01 1.166565e+00
2.170 1.241582e+00 1.355081e+00 9.915216e-01 1.158995e+00
2.180 1.232802e+00 1.348070e+00 9.847801e-01 1.151474e+00
2.190 1.224085e+00 1.341096e+00 9.780844e-01 1.144002e+00
2.200 1.215429e+00 1.334157e+00 9.714342e-01 1.136578e+00
2.210 1.206545e+00 1.327255e+00 9.644029e-01 1.128940e+00
2.220 1.197726e+00 1.320388e+00 9.574225e-01 1.121354e+00
2.230 1.188972e+00 1.313557e+00 9.504926e-01 1.113818e+00
2.240 1.180281e+00 1.306761e+00 9.436129e-01 1.106334e+00
2.250 1.171654e+00 1.300000e+00 9.367830e-01 1.098899e+00
2.260 1.162809e+00 1.293640e+00 9.285547e-01 1.091128e+00
2.270 1.154030e+00 1.287312e+00 9.203987e-01 1.083411e+00
2.280 1.145318e+00 1.281014e+00 9.123142e-01 1.075750e+00
2.290 1.136671e+00 1.274747e+00 9.043008e-01 1.068142e+00
2.300 1.128089e+00 1.268511e+00 8.963578e-01 1.060588e+00
2.310 1.119265e+00 1.262305e+00 8.879286e-01 1.052794e+00
2.320 1.110509e+00 1.256130e+00 8.795786e-01 1.045057e+00
2.330 1.101821e+00 1.249985e+00 8.713071e-01 1.037377e+00
2.340 1.093202e+00 1.243870e+00 8.631134e-01 1.029753e+00
2.350 1.084650e+00 1.237785e+00 8.549968e-01 1.022185e+00
2.360 1.075839e+00 1.231729e+00 8.465666e-01 1.014395e+00
2.370 1.067100e+00 1.225704e+00 8.382196e-01 1.006663e+00
2.380 1.058432e+00 1.219707e+00 8.299549e-01 9.989907e-01
2.390 1.049834e+00 1.213741e+00 8.217716e-01 9.913766e-01
2.400 1.041306e+00 1.207803e+00 8.136690e-01 9.838206e-01
2.410 1.032512e+00 1.201894e+00 8.052367e-01 9.760308e-01
2.420 1.023792e+00 1.196014e+00 7.968918e-01 9.683027e-01
2.430 1.015145e+00 1.190163e+00 7.886334e-01 9.606358e-01
2.440 1.006571e+00 1.184341e+00 7.804606e-01 9.530296e-01
2.450 9.980702e-01 1.178547e+00 7.723724e-01 9.454836e-01
2.460 9.895942e-01 1.172782e+00 7.644832e-01 9.380635e-01
2.470 9.811901e-01 1.167044e+00 7.566745e-01 9.307017e-01
2.480 9.728573e-01 1.161335e+00 7.489456e-01 9.233976e-01
2.490 9.645952e-01 1.155654e+00 7.412956e-01 9.161508e-01
2.500 9.564032e-01 1.150000e+00 7.337238e-01 9.089609e-01
2.510 9.494632e-01 1.143589e+00 7.289644e-01 9.036361e-01
2.520 9.425732e-01 1.137214e+00 7.242358e-01 8.983424e-01
2.530 9.357329e-01 1.130874e+00 7.195379e-01 8.930797e-01
2.540 9.289420e-01 1.124569e+00 7.148704e-01 8.878477e-01
2.550 9.222001e-01 1.118300e+00 7.102331e-01 8.826464e-01
2.560 9.155925e-01 1.112065e+00 7.060179e-01 8.776943e-01
2.570 9.090320e-01 1.105866e+00 7.018277e-01 8.727700e-01
2.580 9.025182e-01 1.099701e+00 6.976623e-01 8.678733e-01
2.590 8.960508e-01 1.093570e+00 6.935216e-01 8.630040e-01
2.600 8.896294e-01 1.087474e+00 6.894055e-01 8.581619e-01
2.610 8.830528e-01 1.081411e+00 6.851982e-01 8.532180e-01
2.620 8.765246e-01 1.075382e+00 6.810166e-01 8.483025e-01
2.630 8.700443e-01 1.069387e+00 6.768605e-01 8.434153e-01
2.640 8.636117e-01 1.063425e+00 6.727297e-01 8.385562e-01
2.650 8.572263e-01 1.057497e+00 6.686241e-01 8.337251e-01
2.660 8.506805e-01 1.051602e+00 6.644251e-01 8.287888e-01
2.670 8.441845e-01 1.045739e+00 6.602525e-01 8.238817e-01
2.680 8.377378e-01 1.039909e+00 6.561061e-01 8.190036e-01
2.690 8.313400e-01 1.034112e+00 6.519856e-01 8.141544e-01
2.700 8.249908e-01 1.028347e+00 6.478910e-01 8.093338e-01
2.710 8.186072e-01 1.022614e+00 6.436641e-01 8.043009e-01
2.720 8.122727e-01 1.016913e+00 6.394648e-01 7.992993e-01
2.730 8.059869e-01 1.011244e+00 6.352928e-01 7.943288e-01
2.740 7.997496e-01 1.005606e+00 6.311481e-01 7.893891e-01
2.750 7.935602e-01 1.000000e+00 6.270303e-01 7.844801e-01
2.760 7.879936e-01 9.947184e-01 6.225975e-01 7.788281e-01
2.770 7.824658e-01 9.894648e-01 6.181960e-01 7.732167e-01
2.780 7.769766e-01 9.842388e-01 6.138256e-01 7.676458e-01
2.790 7.715256e-01 9.790405e-01 6.094861e-01 7.621149e-01
2.800 7.661126e-01 9.738696e-01 6.051772e-01 7.566239e-01
2.810 7.607031e-01 9.687261e-01 6.007165e-01 7.508753e-01
2.820 7.553316e-01 9.636097e-01 5.962886e-01 7.451704e-01
2.830 7.499977e-01 9.585203e-01 5.918934e-01 7.395088e-01
2.840 7.447013e-01 9.534578e-01 5.875305e-01 7.338902e-01
2.850 7.394421e-01 9.484221e-01 5.831998e-01 7.283143e-01
2.860 7.340584e-01 9.434129e-01 5.787472e-01 7.225733e-01
2.870 7.287136e-01 9.384302e-01 5.743286e-01 7.168776e-01
2.880 7.234076e-01 9.334738e-01 5.699437e-01 7.112268e-01
2.890 7.181399e-01 9.285436e-01 5.655922e-01 7.056205e-01
2.900 7.129104e-01 9.236394e-01 5.612739e-01 7.000583e-01
2.910 7.075523e-01 9.187612e-01 5.568291e-01 6.943250e-01
2.920 7.022343e-01 9.139087e-01 5.524194e-01 6.886386e-01
2.930 6.969560e-01 9.090818e-01 5.480446e-01 6.829987e-01
2.940 6.917172e-01 9.042804e-01 5.437045e-01 6.774050e-01
2.950 6.865176e-01 8.995044e-01 5.393987e-01 6.718571e-01
2.960 6.813033e-01 8.947536e-01 5.349007e-01 6.662963e-01
2.970 6.761284e-01 8.900279e-01 5.304402e-01 6.607816e-01
2.980 6.709926e-01 8.853271e-01 5.260169e-01 6.553124e-01
2.990 6.658956e-01 8.806512e-01 5.216304e-01 6.498885e-01
3.000 6.608371e-01 8.760000e-01 5.172805e-01 6.445095e-01
3.010 6.566258e-01 8.709909e-01 5.125080e-01 6.400201e-01
3.020 6.524414e-01 8.660104e-01 5.077796e-01 6.355619e-01
3.030 6.482837e-01 8.610584e-01 5.030947e-01 6.311348e-01
3.040 6.441524e-01 8.561348e-01 4.984531e-01 6.267385e-01
3.050 6.400474e-01 8.512392e-01 4.938543e-01 6.223728e-01
3.060 6.359585e-01 8.463717e-01 4.890209e-01 6.180490e-01
3.070 6.318957e-01 8.415320e-01 4.842347e-01 6.137552e-01
3.080 6.278589e-01 8.367200e-01 4.794954e-01 6.094912e-01
3.090 6.238478e-01 8.319355e-01 4.748024e-01 6.052568e-01
3.100 6.198623e-01 8.271784e-01 4.701554e-01 6.010519e-01
3.110 6.157781e-01 8.224484e-01 4.653207e-01 5.967293e-01
3.120 6.117207e-01 8.177455e-01 4.605358e-01 5.924378e-01
3.130 6.076901e-01 8.130695e-01 4.558001e-01 5.881772e-01
3.140 6.036860e-01 8.084203e-01 4.511130e-01 5.839473e-01
3.150 5.997083e-01 8.037976e-01 4.464742e-01 5.797477e-01
3.160 5.956286e-01 7.992014e-01 4.416380e-01 5.754263e-01
3.170 5.915767e-01 7.946314e-01 4.368543e-01 5.711371e-01
3.180 5.875523e-01 7.900876e-01 4.321224e-01 5.668799e-01
3.190 5.835552e-01 7.855697e-01 4.274417e-01 5.626543e-01
3.200 5.795853e-01 7.810777e-01 4.228117e-01 5.584603e-01
3.210 5.754970e-01 7.766114e-01 4.182231e-01 5.541833e-01
3.220 5.714375e-01 7.721706e-01 4.136844e-01 5.499391e-01
3.230 5.674065e-01 7.677552e-01 4.091949e-01 5.457274e-01
3.240 5.634040e-01 7.633650e-01 4.047541e-01 5.415479e-01
3.250 5.594298e-01 7.590000e-01 4.003615e-01 5.374004e-01
3.260 5.552681e-01 7.539343e-01 3.972596e-01 5.333848e-01
3.270 5.511374e-01 7.489024e-01 3.941818e-01 5.293992e-01
3.280 5.470374e-01 7.439041e-01 3.911278e-01 5.254435e-01
3.290 5.429678e-01 7.389392e-01 3.880975e-01 5.215172e-01
3.300 5.389286e-01 7.340074e-01 3.850906e-01 5.176203e-01
3.310 5.347577e-01 7.291085e-01 3.822354e-01 5.136491e-01
3.320 5.306192e-01 7.242423e-01 3.794013e-01 5.097083e-01
3.330 5.265126e-01 7.194086e-01 3.765882e-01 5.057977e-01
3.340 5.224378e-01 7.146071e-01 3.737960e-01 5.019171e-01
3.350 5.183945e-01 7.098377e-01 3.710245e-01 4.980663e-01
3.360 5.142279e-01 7.051001e-01 3.681701e-01 4.940958e-01
3.370 5.100947e-01 7.003942e-01 3.653376e-01 4.901570e-01
3.380 5.059947e-01 6.957196e-01 3.625270e-01 4.862495e-01
3.390 5.019277e-01 6.910763e-01 3.597380e-01 4.823732e-01
3.400 4.978934e-01 6.864639e-01 3.569704e-01 4.785278e-01
3.410 4.937305e-01 6.818824e-01 3.541163e-01 4.745577e-01
3.420 4.896024e-01 6.773314e-01 3.512851e-01 4.706204e-01
3.430 4.855089e-01 6.728107e-01 3.484765e-01 4.667159e-01
3.440 4.814495e-01 6.683203e-01 3.456903e-01 4.628437e-01
3.450 4.774241e-01 6.638598e-01 3.429264e-01 4.590037e-01
3.460 4.733175e-01 6.594291e-01 3.400804e-01 4.550530e-01
3.470 4.692463e-01 6.550280e-01 3.372580e-01 4.511362e-01
3.480 4.652101e-01 6.506562e-01 3.344591e-01 4.472532e-01
3.490 4.612086e-01 6.463136e-01 3.316833e-01 4.434036e-01
3.500 4.572414e-01 6.420000e-01 3.289306e-01 4.395871e-01
3.510 4.534740e-01 6.375249e-01 3.261504e-01 4.357759e-01
3.520 4.497375e-01 6.330811e-01 3.233936e-01 4.319977e-01
3.530 4.460319e-01 6.286682e-01 3.206602e-01 4.282522e-01
3.540 4.423568e-01 6.242860e-01 3.179499e-01 4.245392e-01
3.550 4.387119e-01 6.199345e-01 3.152625e-01 4.208584e-01
3.560 4.349991e-01 6.156132e-01 3.124884e-01 4.170640e-01
